[05:32:38 PM || 20/06/2026] [SUCCESS] [EVENT] Loaded: aichat
[05:32:38 PM || 20/06/2026] [SUCCESS] [EVENT] Loaded: antioutHandler
[05:32:38 PM || 20/06/2026] [SUCCESS] [EVENT] Loaded: autoreact
[05:32:38 PM || 20/06/2026] [SUCCESS] [EVENT] Loaded: autoseen
[05:32:38 PM || 20/06/2026] [SUCCESS] [EVENT] Loaded: botnotiSpam
[05:32:38 PM || 20/06/2026] [SUCCESS] [EVENT] Loaded: fbautodl
[05:32:38 PM || 20/06/2026] [SUCCESS] [EVENT] Loaded: goibot
[05:32:38 PM || 20/06/2026] [SUCCESS] [EVENT] Loaded: guard
[05:32:38 PM || 20/06/2026] [SUCCESS] [EVENT] Loaded: igautodl
[05:32:38 PM || 20/06/2026] [SUCCESS] [EVENT] Loaded: joinnoti
[05:32:38 PM || 20/06/2026] [SUCCESS] [EVENT] Loaded: leave
[05:32:38 PM || 20/06/2026] [SUCCESS] [EVENT] Loaded: pinterestautodl
[05:32:38 PM || 20/06/2026] [SUCCESS] [EVENT] Loaded: resend
[05:32:38 PM || 20/06/2026] [SUCCESS] [EVENT] Loaded: tiktokautodl
[05:32:38 PM || 20/06/2026] [SUCCESS] [EVENT] Loaded: triviaListener
[05:32:38 PM || 20/06/2026] [SUCCESS] [EVENT] Loaded: welcome
[05:32:38 PM || 20/06/2026] [SUCCESS] [EVENT] Loaded: ytautodl
[05:32:38 PM || 20/06/2026] [INFO] [REFRESH] Loaded 18 events
[05:32:38 PM || 20/06/2026] [SUCCESS] [ISLAMIC_SCHEDULER] Islamic scheduler started ✅
[05:32:38 PM || 20/06/2026] [SUCCESS] [SCHEDULER] All schedulers started
[05:32:38 PM || 20/06/2026] [INFO] [BOT] Attaching MQTT listener...
[05:32:38 PM || 20/06/2026] [SUCCESS] [BOT] 🌟 MR DEVIL BOT 🌟 is now ONLINE!
[05:32:38 PM || 20/06/2026] [INFO] [BOT] Commands: 140 | Events: 18 | Prefix: .
[05:33:14 PM || 20/06/2026] [INFO] [MSG_IN] [1311382593803786] 61590918472593: .spamgc
[05:33:14 PM || 20/06/2026] [COMMAND] spamgc by - ⸙ ❰ 𝐙𝐀𝐈𝐍 ❱ ː » 𖤍 ️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️ ️ in 1311382593803786
[05:33:40 PM || 20/06/2026] [INFO] [MSG_IN] [1311382593803786] 61590918472593: hello
[05:35:04 PM || 20/06/2026] [INFO] [HEARTBEAT] Connection active
[05:35:58 PM || 20/06/2026] [INFO] [BOT] Login method: COOKIES (cookies.txt)
[05:35:58 PM || 20/06/2026] [SUCCESS] [COOKIES] Loaded 13 cookies from cookies.txt
[05:35:58 PM || 20/06/2026] [INFO] [BOT] Starting 🌟 MR DEVIL BOT 🌟...
[05:35:58 PM || 20/06/2026] [INFO] [BOT] Timezone: Asia/Karachi
[05:35:58 PM || 20/06/2026] [INFO] [BOT] Prefix: .
[05:35:58 PM || 20/06/2026] [SUCCESS] [WEB_PANEL] Control Panel running on port 5000
[05:35:58 PM || 20/06/2026] [SUCCESS] [WEB_PANEL] Local:   http://localhost:5000
[05:36:56 PM || 20/06/2026] [ERROR] [UNHANDLED_REJECTION] Error: connect ETIMEDOUT 57.144.148.141:443
